domainname,nr_src
switch.ch,834868
comlaude.ch,673444
infomaniak.ch,592134
noris.ch,546919
nine.ch,530965
bluewin.ch,462268
google.ch,444153
honcode.ch,428319
hostpoint.ch,400537
tophost.ch,378686
cern.ch,363703
nic.ch,352864
hcuge.ch,343544
swisscom.ch,328380
sunrise.ch,320537
hoststar.ch,293912
fcom.ch,286138
zer0day.ch,280093
vtx.ch,276337
cyon.ch,267227
arenabg.ch,264509
itu.ch,259536
admin.ch,242967
pinterest.ch,239967
protonmail.ch,239754
kreativmedia.ch,238549
agrinet.ch,234685
switchplus.ch,234342
cablecom.ch,234098
ethz.ch,227481
porsche.ch,222350
open.ch,219217
wemfbox.ch,217609
datasource.ch,211875
hon.ch,193344
ebay.ch,191238
airbnb.ch,186924
tripadvisor.ch,185056
webland.ch,184640
glipac.ch,181751
hispeed.ch,180999
cyberlink.ch,176979
solnet.ch,173861
migros.ch,173489
hostfactory.ch,169143
nzz.ch,166967
blick.ch,166010
wservices.ch,163196
yelp.ch,160900
genotec.ch,158497
immer-da.ch,158001
dimago.ch,157697
20min.ch,156281
epfl.ch,155871
post.ch,155335
finarea.ch,153343
imp.ch,153194
netplus.ch,152803
uzh.ch,150236
exigo.ch,146666
threema.ch,146641
hosttech.ch,144601
mhs.ch,144520
solarcom.ch,141600
unige.ch,141150
interway.ch,139004
gmx.ch,138776
datazug.ch,135134
netstream.ch,133373
srgssr.ch,132696
gotdns.ch,132036
innet.ch,130793
srf.ch,128678
publicompserver.ch,128156
expedia.ch,127794
nts.ch,126200
wn-dns.ch,126018
mscgva.ch,125641
blogspot.ch,123975
unibe.ch,121887
tamedia.ch,121761
datapark.ch,120758
dfinet.ch,120680
xvo.ch,119255
proinity.ch,119095
nubium.ch,116826
swissinfo.ch,115154
posteo-dns.ch,114913
adslplus.ch,114802
unibas.ch,114340
coop.ch,113908
webstyle.ch,111451
snowflakehosting.ch,111273
iway.ch,111034
xmodels-live.ch,110038
swisslink.ch,109293
ticketcorner.ch,108420
tagesanzeiger.ch,108287
sbb.ch,108171
virtua.ch,107855
kissasian.ch,105749
ewdns.ch,105667
softronics.ch,105618
newsnetz.ch,104749
netrics.ch,104500
rts.ch,104190
uci.ch,103728
shinternet.ch,103556
ellb.ch,103266
unil.ch,103096
citycable.ch,102849
swissns.ch,101800
kaywa.ch,101717
ringier.ch,101610
search.ch,101307
admeira.ch,101262
datacomm.ch,100672
groupon.ch,99870
sylon.ch,99853
indeed.ch,99850
netzone.ch,99834
digitale-gesellschaft.ch,98856
virtualtec.ch,98082
kayak.ch,97422
adfinis-sygroup.ch,97336
fastnet.ch,95517
psideo.ch,95097
qlns.ch,94648
da-services.ch,94068
gettyimages.ch,93372
datacenter-migros.ch,92148
ricardo.ch,92082
ezimg.ch,90699
evok.ch,90419
adquality.ch,90071
databaar.ch,89451
trendhosting-net.ch,89176
5ms.ch,88980
geberit.ch,88723
wingo.ch,87908
ortcloud.ch,87739
tsinger.ch,87250
000.ch,87061
swisslos.ch,86549
backslash.ch,86029
pcdog.ch,85685
nth.ch,85422
rsnweb.ch,85396
unisg.ch,85380
domrobot.ch,85360
be.ch,84991
nexlink.ch,84799
metanet.ch,84776
zalando.ch,84307
xmedia.ch,83862
leunet.ch,83646
goeast.ch,83482
unifr.ch,83317
cryptowat.ch,83240
swisstxt.ch,82978
nextron.ch,81843
nte.ch,81816
local.ch,81800
flashcable.ch,81527
hostorama.ch,81282
fhnw.ch,80805
tutti.ch,80485
homegate.ch,80239
host.ch,80044
senselan.ch,79764
vd.ch,79559
weblink.ch,79362
iec.ch,78984
lqj.ch,78562
scsstatic.ch,78510
surveymonkey.ch,78265
worldcom.ch,78111
dns-zonen.ch,77768
tdg.ch,77739
swisslife.ch,77686
letemps.ch,77503
meteonews.ch,76263
zhaw.ch,76082
rhone.ch,76043
ti-edu.ch,75987
tcnet.ch,75559
jeuxjeuxjeux.ch,75369
torrentdownload.ch,74584
syhosting.ch,74539
20min-tv.ch,74471
cleanmail.ch,74416
astro.ch,74248
imd.ch,74195
sceur.ch,73929
unog.ch,73910
rsi.ch,73897
u-blox.ch,73765
abuse.ch,73739
postfinance.ch,73735
unine.ch,73505
fourmilab.ch,73441
wohlbier.ch,73088
kfsb.ch,73077
nameserver.ch,71877
suedostschweiz.ch,71719
comparis.ch,71637
lsne.ch,70642
lematin.ch,70633
bfh.ch,70561
eds.ch,70528
036.ch,70479
square7.ch,69797
mail-ch.ch,69615
hotmail.ch,69612
scibile.ch,69425
ebu.ch,69340
ricardostatic.ch,68752
hslu.ch,68711
wef.ch,68706
web-agentur.ch,68684
hosting-ch.ch,68646
arcade.ch,68642
24heures.ch,68353
glattnet.ch,68313
