domainname,nr_asn
switch.ch,57658.0
comlaude.ch,53201.0
infomaniak.ch,50751.0
finarea.ch,49643.0
google.ch,48092.0
bluewin.ch,47454.0
cern.ch,47424.0
hostpoint.ch,47299.0
noris.ch,47068.0
honcode.ch,45567.0
sunrise.ch,44536.0
nine.ch,44460.0
protonmail.ch,43305.0
hoststar.ch,43303.0
tophost.ch,40372.0
pinterest.ch,39685.0
hcuge.ch,36715.0
open.ch,36497.0
cyon.ch,36484.0
vtx.ch,35358.0
zer0day.ch,35064.0
hispeed.ch,34917.0
arenabg.ch,34892.0
airbnb.ch,34276.0
ethz.ch,34044.0
hosttech.ch,33823.0
swisscom.ch,33382.0
kreativmedia.ch,31904.0
adslplus.ch,31885.0
tripadvisor.ch,31881.0
itu.ch,31663.0
nic.ch,31143.0
e-fon.ch,30876.0
porsche.ch,30605.0
ebay.ch,30548.0
agrinet.ch,30140.0
admin.ch,29905.0
fcom.ch,29417.0
cyberlink.ch,28063.0
dimago.ch,28005.0
glipac.ch,26459.0
netplus.ch,26206.0
wemfbox.ch,25987.0
wservices.ch,25738.0
webland.ch,25697.0
expedia.ch,25303.0
epfl.ch,24156.0
migros.ch,23812.0
yelp.ch,23546.0
hon.ch,23373.0
wn-dns.ch,23317.0
post.ch,22975.0
dfinet.ch,22639.0
uzh.ch,22611.0
xvo.ch,22447.0
kayak.ch,22400.0
unige.ch,22399.0
hostfactory.ch,22394.0
solnet.ch,22269.0
netzone.ch,22060.0
imp.ch,21798.0
datasource.ch,21794.0
switchplus.ch,21731.0
swissns.ch,21671.0
genotec.ch,21416.0
srgssr.ch,21240.0
swisslink.ch,21233.0
exigo.ch,21109.0
nts.ch,21034.0
nubium.ch,20994.0
flashcable.ch,20520.0
interway.ch,20422.0
gmx.ch,20341.0
blogspot.ch,20233.0
nzz.ch,19903.0
mscgva.ch,19884.0
036.ch,19846.0
dns-net.ch,19386.0
innet.ch,19375.0
mhs.ch,19336.0
ringier.ch,19293.0
indeed.ch,19237.0
datazug.ch,18917.0
abuse.ch,18873.0
publicompserver.ch,18848.0
unibe.ch,18797.0
swissinfo.ch,18792.0
adfinis-sygroup.ch,18770.0
iway.ch,18725.0
wingo.ch,18497.0
unil.ch,18441.0
coop.ch,18392.0
newsnetz.ch,18301.0
unibas.ch,18263.0
qlns.ch,18176.0
fastnet.ch,17982.0
threema.ch,17828.0
citycable.ch,17620.0
hosting-ch.ch,17443.0
sbb.ch,17439.0
netstream.ch,16961.0
20min.ch,16942.0
posteo-dns.ch,16871.0
astro.ch,16759.0
webstyle.ch,16510.0
backslash.ch,16428.0
ezimg.ch,16355.0
ellb.ch,16258.0
evensi.ch,16257.0
evok.ch,16026.0
datacomm.ch,15920.0
ggaweb.ch,15790.0
da-services.ch,15681.0
virtua.ch,15652.0
metanet.ch,15559.0
blick.ch,15477.0
xmedia.ch,15372.0
5ms.ch,15271.0
shinternet.ch,15237.0
srf.ch,15155.0
syhosting.ch,15066.0
swisstxt.ch,15038.0
tagesanzeiger.ch,15037.0
nextron.ch,14937.0
trendhosting-net.ch,14916.0
iec.ch,14887.0
glassdoor.ch,14870.0
ipcc.ch,14815.0
easyzone.ch,14764.0
ewdns.ch,14681.0
goeast.ch,14643.0
hostorama.ch,14595.0
rsnweb.ch,14585.0
geberit.ch,14585.0
admeira.ch,14582.0
exchange-swiss.ch,14550.0
local.ch,14537.0
dns-zonen.ch,14494.0
momondo.ch,14461.0
virtualtec.ch,14323.0
nth.ch,14292.0
xmodels-live.ch,14263.0
gotdns.ch,14235.0
wohlbier.ch,14214.0
search.ch,14180.0
cryptowat.ch,14119.0
spreitzer.ch,14087.0
kbntx.ch,14073.0
mtfcloud.ch,14056.0
unifr.ch,14035.0
datapark.ch,14029.0
pcdog.ch,13995.0
zalando.ch,13930.0
netrics.ch,13796.0
unisg.ch,13762.0
datacenter-migros.ch,13724.0
sinkhole.ch,13716.0
leunet.ch,13505.0
cleanmail.ch,13493.0
servertown.ch,13482.0
host.ch,13467.0
oetiker.ch,13455.0
getback.ch,13265.0
opsdns.ch,13236.0
autoscout24.ch,13159.0
chuv.ch,13144.0
ticketcorner.ch,13114.0
unog.ch,13108.0
ti-edu.ch,13031.0
tamedia.ch,13030.0
tutti.ch,12997.0
vd.ch,12972.0
rhone.ch,12935.0
groupon.ch,12925.0
go-fet.ch,12908.0
trit.ch,12898.0
exoscale.ch,12876.0
ebu.ch,12760.0
